Scheme_Category,Date,No_of_Folios,SIP_Contribution_Cr,Redemptions_Cr,Net_Inflows_Cr,Net_AUM_Cr,Average_Net_AUM_Cr
Small Cap Fund,2024-10-01,22990319,8108.0249592,4336.05225312,3771.97270608,321984.80991219,323194.27651332
Large Cap Fund,2024-08-01,14641638,6538.58204301,3901.72276118,2636.85928183,368401.20890124,358518.49060312
Large & Mid Cap Fund,2024-08-01,10316175,5880.74971468,2587.00676022,3293.74295446,263808.60768337,255731.08732079
Mid Cap Fund,2024-08-01,16702539,7234.63514211,4179.95078319,3054.68435892,384658.1789083,374023.05802782
Small Cap Fund,2024-08-01,21573827,6958.85458776,3749.5233521,3209.33123566,319967.57162017,310992.27067415
Large Cap Fund,2024-09-01,14891416,5865.86261137,4096.43820432,1769.42440705,379010.08129766,374132.39929672
Large & Mid Cap Fund,2024-09-01,10606224,6402.12404262,2804.03501474,3598.08902788,272809.07191053,268846.84310059
Mid Cap Fund,2024-09-01,17511890,7671.5683411,4541.14397866,3130.42436244,397009.72456987,392161.697621
Small Cap Fund,2024-09-01,22338121,7563.54739663001,4492.70708463,3070.84031200001,328837.50007938,326139.20559322
Large Cap Fund,2024-06-01,14129880,5723.74092297,4753.24957605,970.491346919998,345361.64922179,337253.01658535
Large & Mid Cap Fund,2024-06-01,9834494,5777.46612562,2865.27181128,2912.19431434,243589.3870866,236439.47829804
Mid Cap Fund,2024-06-01,15274241,7215.32837493,4687.49326952,2527.83510541,359426.17323463,349129.09473034
Small Cap Fund,2024-06-01,20296496,6965.91547356,4702.44176246,2263.4737111,296408.44501315,287417.0207376
Large Cap Fund,2024-07-01,14357880,6000.05009346,5329.92942039,670.120673070001,361031.14297366,353931.44125742
Large & Mid Cap Fund,2024-07-01,10077659,5791.14874503,3168.85781302,2622.29093201,257266.49277282,250312.22003676
Mid Cap Fund,2024-07-01,16029834,7557.38549083,5913.16572095,1644.21976988,378543.82766416,368224.06832066
Small Cap Fund,2024-07-01,20962913,7119.56365331,5010.36737219,2109.19628112,313488.17717635,305931.02294531
Large Cap Fund,2024-05-01,13988501,5685.40022946,5022.31146776,663.0887617,323155.66413908,322140.7524578
Large & Mid Cap Fund,2024-05-01,9641201,5566.67631839,3169.76738974,2396.90892865,223990.10977019,221287.23531803
Mid Cap Fund,2024-05-01,14790033,6585.4120533,3979.70983757,2605.70221573,328183.32755491,322953.84378511
Small Cap Fund,2024-05-01,19832640,6568.37115516,3843.70250919,2724.66864597,270581.01466404,267682.13513266
Large Cap Fund,2024-04-01,13858639,5481.82232843,5124.2632769,357.55905153,321048.1040655,317788.1147979
Large & Mid Cap Fund,2024-04-01,9458793,5025.86137875,2386.95396798,2638.90741077,218060.9528856,212926.2714968
Mid Cap Fund,2024-04-01,14380224,5651.15398689,3858.08693853,1793.06704836,316222.6212076,308387.82356
Small Cap Fund,2024-04-01,19402862,6232.28876783,4023.58543182,2208.70333601,266109.7511927,257589.3421539
Large Cap Fund,2024-03-01,13668455,5661.97186318,3534.18511491,2127.78674826999,314154.5680974,310340.5840797
Large & Mid Cap Fund,2024-03-01,9277595,5036.97529505,1821.39930489,3215.57599016,205736.8557832,202389.4421947
Mid Cap Fund,2024-03-01,14015426,4943.78517865,3926.09759622,1017.68758243,296985.7151392,293303.1094389
Small Cap Fund,2024-03-01,19028082,5721.99364582999,5816.16219306,-94.1685472300087,243368.3707106,242443.5311037
Large Cap Fund,2024-02-01,13489341,5205.89820225001,4284.76147666,921.136725590004,305940.6500759,304329.0166298
Large & Mid Cap Fund,2024-02-01,9105807,5304.99318768,2148.35061708,3156.6425706,200832.68903567,198380.72580808
Mid Cap Fund,2024-02-01,13715842,5427.82470435,3619.64399887,1808.18070548,295682.93843498,294490.52797967
Small Cap Fund,2024-02-01,18664893,6897.36664301001,3974.91223201,2922.45441100001,249070.99331866,249079.06007651
Large Cap Fund,2024-01-01,13346810,4984.54624162,3697.49267825,1287.05356337,299733.71347625,297349.89382248
Large & Mid Cap Fund,2024-01-01,8880611,4626.41437863,2296.30938113,2330.1049975,194015.38765592,190526.43390583
Mid Cap Fund,2024-01-01,13316071,5648.42341537,3587.24639296,2061.17702241,290293.81213849,285308.52019465
Small Cap Fund,2024-01-01,17896929,7033.71307868,3776.72878844,3256.98429024,247603.3368987,239940.98700656
Large Cap Fund,2023-12-01,13201818,4488.62871741,4769.57015074,-280.941433330001,296009.1649498,289338.66696561
Large & Mid Cap Fund,2023-12-01,8678915,4942.26547323,2603.40175268,2338.86372055,187756.64158759,182151.96382255
Mid Cap Fund,2023-12-01,12857604,5259.02076306,3865.96607432,1393.05468874,281353.28884213,274526.66754294
Small Cap Fund,2023-12-01,16919143,8126.33534377,4268.83300125,3857.50234252,233979.12697238,227616.23748559
Large Cap Fund,2023-11-01,13148805,3495.20744059,3188.50505375,306.702386840003,276639.70549177,269387.39367382
Large & Mid Cap Fund,2023-11-01,8516474,3507.99216515,1660.5386934,1847.45347175,173892.0259369,167493.16006202
Mid Cap Fund,2023-11-01,12522817,4967.38612547,2301.65360835,2665.73251712,264277.5525727,254274.33234482
Small Cap Fund,2023-11-01,15983476,6545.98002021,2846.737089,3699.24293121,220176.05320191,210638.00148467
Large Cap Fund,2023-10-01,13120371,3948.57130003,3224.75936843,723.811931599997,260808.22826403,266148.5316024
Large & Mid Cap Fund,2023-10-01,8414596,3844.42101619,2110.33472323,1734.08629296,159851.6283837,162568.8461665
Mid Cap Fund,2023-10-01,12244014,5205.13102143,2796.21476319,2408.91625824,241298.6758008,244515.6824681
Small Cap Fund,2023-10-01,15346265,7084.32788862,2589.20223743,4495.12565119,199445.0624015,200288.5613324
Large Cap Fund,2023-09-01,13047923,3631.43366961,3742.03864881,-110.604979199996,267581.89477114,268968.2557444
Large & Mid Cap Fund,2023-09-01,8299513,3760.19912182,2426.01180277,1334.18731905,163175.58369706,163273.17152463
Mid Cap Fund,2023-09-01,11956147,5234.55978018,3233.67806005,2000.88172013,245496.15241981,244793.74959203
Small Cap Fund,2023-09-01,14684798,6874.35024761,4195.8807189,2678.46952871,198483.22050056,198073.90925488
Large Cap Fund,2023-08-01,13004992,3633.49175946,3982.47047637,-348.978716910004,262299.28068054,262556.78514638
Large & Mid Cap Fund,2023-08-01,8192387,3829.52569819,1716.36699552,2113.15870267,159363.06969459,156286.86269712
Mid Cap Fund,2023-08-01,11625895,5282.68348964,2770.34424722,2512.33924242,239462.22382782,231993.42713672
Small Cap Fund,2023-08-01,13846150,6734.90009226,2470.08448205,4264.81561021,194020.16780019,185823.78034745
Large Cap Fund,2023-07-01,12965360,3271.40934583,5151.40828833,-1879.9989425,266035.38410839,263267.67088641
Large & Mid Cap Fund,2023-07-01,8081426,3553.19830933,2226.42497542,1326.77333391,155885.26507917,151855.932164
Mid Cap Fund,2023-07-01,11313470,4713.40277886,3090.07046356,1623.3323153,229879.03356598,222719.75494579
Small Cap Fund,2023-07-01,13015548,6261.13769618,2089.69909593,4171.43860025,182493.47215393,175208.16472437
Large Cap Fund,2023-06-01,12937115,3084.97137518,5134.58010625,-2049.60873107,259583.2284836,254471.92407478
Large & Mid Cap Fund,2023-06-01,7986403,3533.76036734,2387.07064794,1146.6897194,148217.79580655,144273.14682809
Mid Cap Fund,2023-06-01,11049628,4800.96034829,3052.45511745,1748.50523084,218145.9872133,211811.36927997
Small Cap Fund,2023-06-01,12267299,7357.35463719,1885.60129711,5471.75334008,168434.33248424,162184.19018031
Large Cap Fund,2023-05-01,12934624,3214.70390818,4576.98362967,-1362.27972149,251231.74575211,248208.13700194
Large & Mid Cap Fund,2023-05-01,7910456,3183.21981494,2049.9554237,1133.26439124,140558.17502467,137151.15999134
Mid Cap Fund,2023-05-01,10820927,4166.64550616,2970.99904852,1195.64645764,204479.88424043,198222.7367288
Small Cap Fund,2023-05-01,11581947,5126.01879931,1843.51726552,3282.50153379,153806.5424027,148187.9254354
Large Cap Fund,2023-04-01,12955752,2706.71817102,2654.09282824,52.6253427800002,244610.91549428,240355.41240213
Large & Mid Cap Fund,2023-04-01,7844968,2316.56217345,1577.85277309,738.70940036,133689.14622641,130685.16479796
Mid Cap Fund,2023-04-01,10695532,3677.10537454,1886.12800299,1790.97737155,192564.4612859,188004.13652728
Small Cap Fund,2023-04-01,11125117,3592.69680713,1410.2522779,2182.44452923,142211.57106441,138013.18601447
Large Cap Fund,2023-03-01,12973512,3684.09296758,2772.80349297,911.289474609996,235760.09600154,234482.1782646
Large & Mid Cap Fund,2023-03-01,7809179,3211.62206313,1592.76107671,1618.86098642,127841.82080234,126809.629888
Mid Cap Fund,2023-03-01,10612983,3942.91570409,1813.98929074,2128.92641335,183255.53730231,183088.76485084
Small Cap Fund,2023-03-01,10899311,3747.10653466,1317.06944019,2430.03709447,133383.68504118,132944.50355584
Large Cap Fund,2023-02-01,12963430,3048.99708463,2695.12357695,353.87350768,235167.66938731,240356.49949231
Large & Mid Cap Fund,2023-02-01,7748622,3123.85935996,1472.86161129,1650.99774867,126648.36278492,128001.41993551
Mid Cap Fund,2023-02-01,10499596,3490.77547357,1674.11665928,1816.65881429,183246.26623633,184425.02440386
Small Cap Fund,2023-02-01,10671838,3453.82708935,1207.52711796,2246.29997139,131568.4567597,132162.75466879
Large Cap Fund,2022-12-01,12895270,3602.7952494,3629.17002916,-26.3747797599972,242847.42671473,246296.72229589
Large & Mid Cap Fund,2022-12-01,7567749,2773.61163148,1584.11013913,1189.50149235,127753.2608714,128966.09753922
Mid Cap Fund,2022-12-01,10178944,4488.26716547,2526.00328216,1962.26388331,184723.17254365,186407.36015583
Small Cap Fund,2022-12-01,10099288,3940.30019881,1695.52913961,2244.7710592,130335.98908671,130408.75817785
Large Cap Fund,2023-01-01,12945224,3296.24226014,2580.26057918,715.981680959998,238101.30788881,241392.09020059
Large & Mid Cap Fund,2023-01-01,7675827,3077.54636519,1175.55486712,1901.99149807,126580.52929392,127375.54226883
Mid Cap Fund,2023-01-01,10369025,3563.13058607,1935.07038758,1628.06019848999,183062.72162993,183816.94481733
Small Cap Fund,2023-01-01,10430356,3491.34894553,1235.49455187,2255.85439366,130890.11509156,130535.39021168
Large Cap Fund,2022-11-01,12861604,3152.0242769,4190.86024471,-1038.83596781,250691.09952738,246261.32666937
Large & Mid Cap Fund,2022-11-01,7485176,2516.4928798,1923.57314733,592.91973247,130047.07008961,127812.40295515
Mid Cap Fund,2022-11-01,9952029,3591.89144067,2415.58443236,1176.30700831,186335.37908269,183811.10484424
Small Cap Fund,2022-11-01,9751585,3715.31551421,2337.07314474,1378.24236947,129947.56079168,127191.60794962
Large Cap Fund,2022-10-01,12888577,2954.91685256,2781.29967975,173.617172809998,244691.07129802,237747.67214994
Large & Mid Cap Fund,2022-10-01,7430902,2254.8777658,1065.00373928,1189.87402652,126797.18422071,123663.40777815
Mid Cap Fund,2022-10-01,9825553,3020.27207011,1634.93743664,1385.33463347,182767.48388119,180140.77309709
Small Cap Fund,2022-10-01,9503255,2759.22616639,1177.31723622,1581.90893017,126095.84443795,124856.65205705
Large Cap Fund,2022-09-01,12873410,3491.51922107,3217.33577075,274.183450320001,233619.47872413,238986.65549501
Large & Mid Cap Fund,2022-09-01,7360105,3100.39631359,1631.57898987,1468.81732372,121761.61076148,123515.65020797
Mid Cap Fund,2022-09-01,9672659,4398.41888094,2247.27219756,2151.14668338,178867.43398321,181018.53433411
Small Cap Fund,2022-09-01,9247406,3571.1877777,1745.70665807,1825.48111963,123153.93091745,123672.99011339
Large Cap Fund,2022-08-01,12832758,3621.52359166,3577.92852126,43.595070399997,240308.23171357,237993.98055
Large & Mid Cap Fund,2022-08-01,7258212,2437.92927395,1406.95786347,1030.97141048,122862.46809546,120902.05622287
Mid Cap Fund,2022-08-01,9420335,3716.62493737,2237.2081853,1479.41675207,178094.34048395,174220.02671738
Small Cap Fund,2022-08-01,8889305,2759.76478142,1499.7805147,1259.98426672,120464.00240665,117225.50621786
Large Cap Fund,2022-07-01,12798164,3142.63485238,2051.72371311,1090.91113927,231851.80104671,221787.95720492
Large & Mid Cap Fund,2022-07-01,7181262,2328.99299849,1209.19524119,1119.7977573,117218.52947334,111700.44917391
Mid Cap Fund,2022-07-01,9245074,2599.34620828,1354.67581771,1244.67039057,168438.04605575,160389.79985249
Small Cap Fund,2022-07-01,8659248,2705.41190873,925.96328379,1779.44862494,113332.10769224,108472.12329152
Large Cap Fund,2022-06-01,12750858,3860.81489717,1730.46305709,2130.35184008,212074.37540263,212716.09944852
Large & Mid Cap Fund,2022-06-01,7088163,3129.73547387,1135.00569037,1994.7297835,105880.6869013,105453.08359762
Mid Cap Fund,2022-06-01,9132054,3041.38188914,1189.71198291,1851.66990623,150744.38836171,150723.62086749
Small Cap Fund,2022-06-01,8479510,2581.46546774,965.54085813,1615.92460961,102481.52432996,102090.2260865
Large Cap Fund,2022-05-01,12660337,4422.16412864,1936.79802476,2485.36610388,219835.5225161,214430.80942355
Large & Mid Cap Fund,2022-05-01,6979727,3359.36756194,945.85689455,2413.51066739,108775.63134812,106027.93150134
Mid Cap Fund,2022-05-01,9014944,3342.31978876,1510.78125983,1831.53852893,155831.89180612,152915.82418149
Small Cap Fund,2022-05-01,8330982,2947.10858065,1178.03275792,1769.07582273,104738.76980787,103407.6692351
Large Cap Fund,2022-04-01,12533497,3875.19772432,2616.23745604,1258.96026828,223072.25440633,227595.60759574
Large & Mid Cap Fund,2022-04-01,6845348,3011.66237629,962.14334303,2049.51903326,110943.12836431,111948.34222262
Mid Cap Fund,2022-04-01,8854201,3125.13975362,1575.45349775,1549.68625587,162311.32040284,163298.42841131
Small Cap Fund,2022-04-01,8100585,3063.62861964,1346.95059579,1716.67802385,109704.62424101,110550.85692402
Large Cap Fund,2022-03-01,12444858,5297.47253154,2245.23083586001,3052.24169567999,226190.6589099,218707.39275489
Large & Mid Cap Fund,2022-03-01,6729990,4298.01470486,1133.34340118,3164.67130368,110143.119054,105287.3439696
Mid Cap Fund,2022-03-01,8705192,3721.30381794,1528.11192249,2193.19189545,159928.02345807,154141.32200947
Small Cap Fund,2022-03-01,7870459,2942.44463,1246.81146111,1695.63316889,106857.2980142,102992.2161022
Large Cap Fund,2022-02-01,12313521,4472.82182121,2134.23969606,2338.58212515,216794.4950656,221872.92804499
Large & Mid Cap Fund,2022-02-01,6537977,2981.86650668,946.29034699,2035.57615969,103409.1145175,105755.0381152
Mid Cap Fund,2022-02-01,8539929,3427.45014221,1473.12663418,1954.32350803,152548.49226718,155730.27899133
Small Cap Fund,2022-02-01,7648110,2746.2508464,1316.50632918,1429.74451722,100406.6551977,103996.0616908
Large Cap Fund,2022-01-01,12156461,4515.42560542,2625.18984957,1890.23575585,222736.6170664,226357.78463679
Large & Mid Cap Fund,2022-01-01,6393977,2877.30004333,1154.64595947,1722.65408386,106993.6658592,107420.0497713
Mid Cap Fund,2022-01-01,8356221,3527.95755302,1757.9397446,1770.01780842,158940.86150153,160754.77862046
Small Cap Fund,2022-01-01,7364508,3163.62302531,1665.14756178,1498.47546353,106373.6432179,107827.4744495
Large Cap Fund,2021-11-01,11740508,4352.16415735,2727.75631131,1624.40784604,214414.29758136,223295.21969777
Large & Mid Cap Fund,2021-11-01,5976466,2473.53639549,1248.12910876,1225.40728673,100135.09561444,103449.43585451
Mid Cap Fund,2021-11-01,8014405,3256.08310642,1976.32135114,1279.76175528,152893.93727476,158045.33276791
Small Cap Fund,2021-11-01,6849028,2347.49328907,1565.8441757,781.64911337,100479.0861093,102358.114487
Large Cap Fund,2021-12-01,11978081,4385.36119738,2857.53100062,1527.83019676,221834.82361883,218002.6728918
Large & Mid Cap Fund,2021-12-01,6105449,2718.23222818,1071.90220098,1646.3300272,104376.32465962,102238.56286859
Mid Cap Fund,2021-12-01,8165660,3413.3753022,1734.13145957,1679.24384263,158135.63780252,155442.79995994
Small Cap Fund,2021-12-01,7035809,2800.32829569,1776.04151769,1024.286778,105880.34273191,102632.53055461
Large Cap Fund,2021-10-01,11565388,4180.62605071,3433.49274728,747.133303429997,220879.43270729,223844.99010656
Large & Mid Cap Fund,2021-10-01,5831175,2475.23117073,1831.85938189,643.371788840001,101474.83564343,102650.33568462
Mid Cap Fund,2021-10-01,7843247,3130.77615164,2754.59079201,376.185359629999,154580.99360869,157054.20507927
Small Cap Fund,2021-10-01,6637474,2755.98460769,2406.98989166,348.994716029998,98969.33943321,100833.78194612
Large Cap Fund,2021-09-01,11385481,4253.55932025,4239.658469,13.9008512500004,218332.3007814,217576.75490957
Large & Mid Cap Fund,2021-09-01,5690368,2447.91331874,2189.67201757,258.24130117,99628.50621307,99131.7318085
Mid Cap Fund,2021-09-01,7684684,4361.58413324,3010.60926348,1350.97486976,153023.63839574,151184.20524674
Small Cap Fund,2021-09-01,6396133,2992.35386673,3241.08873887,-248.73487214,98014.1721992,96657.27064169
Large Cap Fund,2021-08-01,11187236,3723.65645511,3802.28969149,-78.6332363800002,212473.33781583,205073.0881935
Large & Mid Cap Fund,2021-08-01,5548081,2492.318598,2041.38367997,450.93491803,96660.0533993,93857.96503782
Mid Cap Fund,2021-08-01,7492165,3200.71084518,3038.77292919,161.93791599,146626.84883074,142798.1170403
Small Cap Fund,2021-08-01,6165044,2535.3358557,2698.05491772,-162.71906202,93677.03764706,92454.19573388
Large Cap Fund,2021-07-01,11046261,3757.0596948,3164.0477782,593.0119166,198796.31520215,197437.08862809
Large & Mid Cap Fund,2021-07-01,5415249,2379.01130791,1145.11388386,1233.89742405,92208.7997708,90171.81625749
Mid Cap Fund,2021-07-01,7328031,3591.61584183,2103.7498068,1487.86603503,142791.49789601,139167.16613714
Small Cap Fund,2021-07-01,5922875,3540.22316118,1761.56869685,1778.65446433,94014.7484165,90450.9809107
Large Cap Fund,2021-06-01,10899563,3795.25403619,3247.92803622,547.32599997,194854.78568569,194095.73196654
Large & Mid Cap Fund,2021-06-01,5273746,2119.1654151,1318.51389809,800.65151701,87752.898707,86171.80788223
Mid Cap Fund,2021-06-01,7127085,4036.22547122,2307.15630979,1729.06916143,134925.31452298,132181.09438565
Small Cap Fund,2021-06-01,5544829,2575.84203688,1870.69991715,705.14211973,85957.2124183,83501.6750748
Large Cap Fund,2021-05-01,10760639,3371.82520844,2434.40861797,937.41659047,190809.44332107,183721.36872297
Large & Mid Cap Fund,2021-05-01,5161295,1876.67684337,1031.96248234,844.71436103,83718.0309513,80444.97229303
Mid Cap Fund,2021-05-01,6899084,2946.90184766,1578.84271946,1368.0591282,127262.9662477,122715.95721893
Small Cap Fund,2021-05-01,5297876,2316.09438865,1235.39577105,1080.6986176,80379.6364746,76684.9283996
Large Cap Fund,2021-04-01,10663232,3614.58494798,3289.64324748,324.9417005,178102.37963681,177617.79533845
Large & Mid Cap Fund,2021-04-01,5087349,1795.5302833,1087.67555563,707.85472767,77948.6569561,76694.26087748
Mid Cap Fund,2021-04-01,6771333,2906.38118911,1948.21580868,958.16538043,118825.33779116,116825.18938821
Small Cap Fund,2021-04-01,5130378,1711.1565865,1527.19269695,183.96388955,72796.59914892,70777.40307362
Large Cap Fund,2021-03-01,10581870,4721.53575905,3998.35966265,723.1760964,178324.33685099,180427.69206579
Large & Mid Cap Fund,2021-03-01,5017194,2212.02131019,1267.08222223,944.93908796,76427.67890344,76502.59140367
Mid Cap Fund,2021-03-01,6660657,3506.81315352,2004.27826309,1502.53489043,116403.4711964,116000.44733801
Small Cap Fund,2021-03-01,5055627,1934.10209784,1598.1565355,335.94556234,69799.3591858,69481.0117244
