Scheme_Category,Date,No_of_Folios,SIP_Contribution_Cr,Redemptions_Cr,Net_Inflows_Cr,Net_AUM_Cr,Average_Net_AUM_Cr
Large Cap Fund,2020-08-01,10387993,2779.01932119,4332.51741659,-1553.4980954,148723.23236394,149177.02138991
Large & Mid Cap Fund,2020-08-01,4800396,1161.38628768,1328.04071563,-166.65442795,57786.24315577,57509.0765788
Mid Cap Fund,2020-08-01,6497677,1637.53160471,2240.50887947,-602.97727476,88734.02254393,88052.47799665
Small Cap Fund,2020-08-01,5090264,1224.04124492,1328.43522851,-104.39398359,52119.11543844,50935.99064347
Large Cap Fund,2020-07-01,10393797,3041.37430235,3406.320518,-364.94621565,145154.39637341,143593.18068348
Large & Mid Cap Fund,2020-07-01,4799665,1107.96377015,1574.71831773,-466.75454758,55208.46131305,54677.84862304
Mid Cap Fund,2020-07-01,6524520,1390.71560323,1969.82011283,-579.1045096,83302.84845249,82304.29922934
Small Cap Fund,2020-07-01,5115543,966.34271837,1057.17037559,-90.82765722,46934.34728063,46220.87721275
Large Cap Fund,2020-06-01,10370695,3122.73407505,3335.51217854,-212.77810349,137148.21538473,135284.32805043
Large & Mid Cap Fund,2020-06-01,4803251,1146.08181896,1058.05631296,88.025506,52603.60043966,51667.92282507
Mid Cap Fund,2020-06-01,6554424,1419.89973085,1383.19505332,36.70467753,79993.31518913,78358.87079786
Small Cap Fund,2020-06-01,5151831,1024.52131024,775.31633546,249.20497478,44679.03548646,43538.776831
Large Cap Fund,2020-05-01,10308982,3045.25096091,1489.65761472,1555.59334619,128749.689342,124181.21108554
Large & Mid Cap Fund,2020-05-01,4798925,1318.45319718,614.89940305,703.55379413,48664.13127851,47048.93880883
Mid Cap Fund,2020-05-01,6558596,1320.77730985,1041.09207648,279.68523337,73352.48898511,71556.91412894
Small Cap Fund,2020-05-01,5168647,966.97019739,673.93327755,293.03691984,39648.37717622,38823.53512854
Large Cap Fund,2020-04-01,10197864,3155.05449823,1463.74605724,1691.30844099,130342.99545635,119861.39834581
Large & Mid Cap Fund,2020-04-01,4774366,1075.19604835,728.86114034,346.33490801,49160.06328637,45466.77097287
Mid Cap Fund,2020-04-01,6541868,1512.38627607,1015.22752094,497.15875513,74421.18955805,69372.87736786
Small Cap Fund,2020-04-01,5164105,1156.85761871,772.52568607,384.33193264,40482.71971487,38208.58690554
Large Cap Fund,2020-02-01,9831790,4232.817086717063,2626.05678896483,1606.7602977522329,146316.78038504574,154834.67701816166
Large & Mid Cap Fund,2020-02-01,4690989,1824.8390411732435,1013.6045453222723,811.2344958509711,56764.120347658725,59415.028542236774
Mid Cap Fund,2020-02-01,6419805,3249.067874634111,1797.9142254865237,1451.1536491475872,89022.7964019812,92246.15424114754
Small Cap Fund,2020-02-01,5103771,2710.086467332596,1212.0601143089116,1498.0263530236844,50967.13548252293,52601.51805322404
Large Cap Fund,2020-03-01,10028315,6863.55562053,4802.99987556,2060.55574497,113541.26771524,126269.4205148
Large & Mid Cap Fund,2020-03-01,4735650,2063.10615003,1203.72153774,859.38461229,42971.98126554,48656.0550634
Mid Cap Fund,2020-03-01,6498964,3515.81927213,2282.64472946,1233.17454267,65804.84900895,75890.70862285
Small Cap Fund,2020-03-01,5128434,1777.66963048,1615.16751998,162.5021105,35832.0160805,42436.53115344
Large Cap Fund,2020-01-01,9679200,3883.175996516744,2729.1807140289275,1153.9952824878164,154135.1234305228,156102.70577322814
Large & Mid Cap Fund,2020-01-01,4633824,1834.194300501933,1141.745795157889,692.448505344044,58771.70456785028,58326.02609355038
Mid Cap Fund,2020-01-01,6350812,3290.8690876669825,1492.7093175132486,1798.159770153734,91197.40720311356,88523.16515816594
Small Cap Fund,2020-01-01,5032844,2093.8924708009945,1021.2090862785899,1072.6833845224046,52481.60887871694,51161.22946297005
Large Cap Fund,2019-12-01,9534426,4678.933115413132,3544.1330379568426,1134.8000774562897,154473.65606884213,153638.24446268773
Large & Mid Cap Fund,2019-12-01,4589463,1713.1839839515978,1391.701234263739,321.4827496878588,56874.66675504674,56272.253333519584
Mid Cap Fund,2019-12-01,6311654,2294.809626868002,1498.7279871632527,796.0816397047493,84962.44148455095,83476.82923068797
Small Cap Fund,2019-12-01,5029953,1474.337596712001,1052.708011929808,421.629584782193,48534.601039119,47513.905592365576
Large Cap Fund,2019-11-01,9428053,4166.229797878848,2969.3286542265087,1196.9011436523397,152493.90795258916,151039.25842900376
Large & Mid Cap Fund,2019-11-01,4546945,1296.0552600583524,1548.4933331010552,-252.43807304270285,56244.178759256574,55712.46460740269
Mid Cap Fund,2019-11-01,6304450,2363.372524731374,1561.8407020518143,801.5318226795598,83839.4471850078,82437.09165376464
Small Cap Fund,2019-11-01,5060879,1610.7512486700034,1349.7015557097802,261.0496929602232,47840.79024231108,47516.70492664588
Large Cap Fund,2019-10-01,9324250,3644.340093151808,2462.0873249572196,1182.2527681945885,149939.3358944649,144652.92183078354
Large & Mid Cap Fund,2019-10-01,4537989,1371.681319916529,861.2757188207725,510.40560109575654,55757.19714024756,53383.91265532851
Mid Cap Fund,2019-10-01,6313227,2073.867461977001,982.828805801968,1091.0386561750329,82138.2685803304,78751.33161466778
Small Cap Fund,2019-10-01,5083689,1329.7950888089981,651.5851614877856,678.2099273212125,47843.0804771486,46024.06786799368
Large Cap Fund,2019-09-01,9214249,3476.4347137053774,1916.9073484161854,1559.527365289192,144272.9100529843,139602.12327104408
Large & Mid Cap Fund,2019-09-01,4504923,1067.5019392936974,724.6788757747508,342.8230635189466,53154.31798919434,51444.064999166265
Mid Cap Fund,2019-09-01,6296812,2230.586801165997,953.9226886550769,1276.66411251092,78672.95254556762,75907.10583801701
Small Cap Fund,2019-09-01,5087496,1480.4886672620014,584.7415783371212,895.7470889248802,46153.70971429917,44759.269770280385
Large Cap Fund,2019-08-01,9145535,4190.0901633868925,1607.1172090234777,2582.972954363415,136377.54359443046,135158.02009839145
Large & Mid Cap Fund,2019-08-01,4489848,1129.0937457263226,566.7609824142796,562.332763312043,50257.34174104818,49806.60997751139
Mid Cap Fund,2019-08-01,6282366,1855.932746639688,788.114303069683,1067.818443570005,73617.87734585423,72872.86037202297
Small Cap Fund,2019-08-01,5081960,1832.6319313962567,525.3719287636318,1307.260002632625,43051.76920981027,42370.66837993842
Large Cap Fund,2019-07-01,9021930,3998.144298900974,2083.2302968267304,1914.9140020742434,135997.71174448094,139830.75563089486
Large & Mid Cap Fund,2019-07-01,4455330,1641.6646102491904,944.5387163913174,697.125893857873,50071.97801644382,51546.02682931584
Mid Cap Fund,2019-07-01,6244264,2683.5881689282896,1290.077987019668,1393.5101819086217,72956.29374829719,75117.71979640266
Small Cap Fund,2019-07-01,5052559,1605.9127249598914,770.7221753381245,835.1905496217669,42341.92816091942,44465.89227478224
Large Cap Fund,2019-06-01,8865853,3706.419862378416,2196.9009629306,1509.5188994478158,142042.80755868953,141165.48235294042
Large & Mid Cap Fund,2019-06-01,4413268,1360.892226399078,871.6561109451527,489.2361154539253,52815.29767918559,52436.32014501381
Mid Cap Fund,2019-06-01,6179893,2075.055252848654,1230.4525914917053,844.6026613569488,77614.70277864792,77160.46322750693
Small Cap Fund,2019-06-01,5027778,1683.713463896579,756.7168674643929,926.9965964321862,45831.05972408556,45795.17450747381
Large Cap Fund,2019-05-01,8739658,4475.342336941738,4422.464960971397,52.877375970340836,141347.62401503135,137489.4720976552
Large & Mid Cap Fund,2019-05-01,4376697,1352.6020817727122,1073.8251268526424,278.7769549200698,52723.83079547901,50886.29313656064
Mid Cap Fund,2019-05-01,6156665,2553.0312628033794,1280.353224247863,1272.6780385555164,77829.81293235141,74546.14587657027
Small Cap Fund,2019-05-01,4992445,2172.8615838414153,757.0035078801574,1415.8580759612578,46441.546385847876,44066.669178989185
Large Cap Fund,2019-04-01,8179430,2627.1115887759797,2578.8413819074026,48.27020686857627,126595.93019332421,126132.40827936791
Large & Mid Cap Fund,2019-04-01,4352083,1179.3823058893017,1199.8862345598136,-20.504028670511083,51426.529329264275,51506.077664474615
Mid Cap Fund,2019-04-01,6128989,2060.4613173360267,1569.4228153154281,491.0385020205983,75058.46991334882,75976.24185636068
Small Cap Fund,2019-04-01,4946766,1772.5987572434844,816.7717701860337,955.8269870574508,43872.10867177891,44279.32306316599
